"Branch","Store Code","Model Name","Model (SKU)","Sale","Return","Stock"
"AKLUJ","2221556","APPLE iPhone 11 - 128GB Black","MHDH3HN/A","0","0","1"
"AKLUJ","2221556","APPLE iPhone 11 - 128GB White","MHDJ3HN/A","1","0","3"
"AKLUJ","2221556","APPLE iPhone 11 - 64GB White","MHDC3HN/A","0","0","1"
"AKLUJ","2221556","APPLE iPhone XR - 128GB Black","MH7L3HN/A","0","0","1"
"AKLUJ","2221556","APPLE iPhone 11 - 64GB Black","MHDA3HN/A","0","0","1"
"AKLUJ","2221556","APPLE iPhone 11 - 128GB Green","MHDN3HN/A","1","0","1"
"AKLUJ","2221556","APPLE iPhone 12 - 128GB White","MGJC3HN/A","1","0","0"
"AKLUJ","2221556","APPLE AirPods with Charging Case (MV7N2HN/A) White ","MV7N2HN/A","0","0","1"
"AKLUJ","2221556","APPLE AirPods pro with Wireless Charging Case (MWP22HN/A) White","MWP22HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone 11 - 128GB Black","MHDH3HN/A","0","0","3"
"GANDHINAGAR Warehouse","9","APPLE iPhone 11 - 128GB White","MHDJ3HN/A","0","0","5"
"GANDHINAGAR Warehouse","9","APPLE iPhone 11 - 128GB Purple","MHDM3HN/A","0","0","4"
"GANDHINAGAR Warehouse","9","APPLE iPhone 11 - 64GB White","MHDC3HN/A","0","0","2"
"GANDHINAGAR Warehouse","9","APPLE iPhone 11 Pro - 64GB Gold","MWC52HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone XR - 64GB White","MH6N3HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone XR - 128GB White","MH7M3HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone 11 - 64GB Black","MHDA3HN/A","0","0","5"
"GANDHINAGAR Warehouse","9","APPLE iPhone 11 - 128GB Green","MHDN3HN/A","0","0","3"
"GANDHINAGAR Warehouse","9","APPLE iPhone 11 - 64GB Green","MHDG3HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone 12 - 128GB Black","MGJA3HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone 12 - 128GB Blue","MGJE3HN/A","0","0","1"
"GANDHINAGAR Warehouse","9","APPLE iPhone 12 Pro - 128GB Gold","MGMM3HN/A","0","0","1"
