"Branch","Category","Brand","Product","IMEI/SRNO","Qty","Sender Branch","Status","Variant id"
"MUMBAI Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Tab T-285 A 7.0 1.5GB 8GB Black","'359475070336871","1","","In Branch","1085"
"SHIVAJI ROAD","Mobiles","SAMSUNG","SAMSUNG Galaxy A21s 6GB 64GB Black (Diwali Edition)","'355372115672994","1","","In Branch","1285"
"MIRAJ 2","Mobiles","SAMSUNG","SAMSUNG Galaxy A51 6GB 128GB Prism Crush Blue","'355255116530925","1","","In Branch","1420"
"KARAD 1","Mobiles","SAMSUNG","SAMSUNG Galaxy A51 6GB 128GB Prism Crush Blue","'355255116531931","1","","In Branch","1420"
"VITA 2","Mobiles","SAMSUNG","SAMSUNG Galaxy A70s 8GB 128GB Prism Crush White","'359753102601748","1","","In Branch","966"
"GANDHINAGAR","Mobiles","SAMSUNG","SAMSUNG Galaxy A71 5G 8GB 128GB Haze Crush Silver","'353412114499296","1","","In Branch","291"
"SANGAMNER 2","Mobiles","SAMSUNG","SAMSUNG Galaxy A71 5G 8GB 128GB Haze Crush Silver","'353412114502594","1","","In Branch","291"
"RATNAGIRI 2","Mobiles","SAMSUNG","SAMSUNG Galaxy A71 5G 8GB 128GB Haze Crush Silver","'353412114503303","1","","In Branch","291"
"INDAPUR","Mobiles","SAMSUNG","SAMSUNG Galaxy A71 8GB 128GB Prism Crush Blue","'353412113832596","1","","In Branch","1424"
"SATARA 2","Mobiles","SAMSUNG","SAMSUNG Galaxy A71 8GB 128GB Prism Crush Blue","'353412113850838","1","","In Branch","1424"
"BALAJI NAGAR","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831317791","1","","In Branch","300"
"VITA 1","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831318732","1","","In Branch","300"
"SADASHIV PETH","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831319052","1","","In Branch","300"
"GADHINGLAJ","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831319623","1","","In Branch","300"
"RATNAGIRI 1","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831320639","1","","In Branch","300"
"SWARGATE 1","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831321629","1","","In Branch","300"
"KAWATHE MAHNKAL","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831872670","1","","In Branch","300"
"KAWATHE MAHNKAL","Mobiles","SAMSUNG","SAMSUNG Galaxy M01 Core 2GB 32GB Blue","'356036831872712","1","","In Branch","300"
"KANKAVALI 1","Mobiles","SAMSUNG","SAMSUNG Galaxy M31 6GB 64GB Ocean Blue","'355604115102584","1","","In Branch","1296"
"ICHALKARANJI 1","Mobiles","SAMSUNG","SAMSUNG Galaxy M51 8GB 128GB Celestial Black","'353516161071079","1","","In Branch","317"
"SAWANTWADI","Mobiles","SAMSUNG","SAMSUNG Galaxy M51 8GB 128GB Celestial Black","'353516161082076","1","","In Branch","317"
"NAGAR 3","Mobiles","SAMSUNG","SAMSUNG Galaxy M51 8GB 128GB Electric Blue","'353516160985170","1","","In Branch","319"
"SATARA 1","Mobiles","SAMSUNG","SAMSUNG Galaxy M51 8GB 128GB Electric Blue","'353516160987994","1","","In Branch","319"
"SANGLI 1","Mobiles","SAMSUNG","SAMSUNG Note 10 Lite 8GB 128GB Aura Glow","'355468111889192","1","","In Branch","321"
"PANAJI","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463349792","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463381423","1","","In Branch","1429"
"SHAHUPURI","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463381522","1","","In Branch","1429"
"SHAHUPURI","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463382199","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463382314","1","","In Branch","1429"
"BINDU CHOWK","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463382454","1","","In Branch","1429"
"JATH","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463382645","1","","In Branch","1429"
"J M ROAD","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463384666","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463384732","1","","In Branch","1429"
"SOLAPUR 2","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463384823","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463385325","1","","In Branch","1429"
