CTRL	2119880	060704780001000	ISL	20210219120002	20210219120002	SSCOMMUNICATION	IN	UTF-8
HDR	20210219	2119880	T2
DTL	MGDH3HN/A	353369285815447			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/238	20210216
DTL	MHDJ3HN/A	355608705688415			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355608705744713			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355608705551084			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	351941233947290			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355608705734284			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355608705563857			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355608705682905			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355608705553254			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	351057063829191			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	351057063947340			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355183485574078			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	357879825526037			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	351941234217370			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355183485598036			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355183485531045			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355183485655240			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355183485710581			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	350864485585835			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355883611102344			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	355183485739424			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	359245673601306			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	359245673660864			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	359130335261188			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	359130335277846			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	359130335324317			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	351057065340668			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	351039495499413			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	359130335298446			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	352012833708430			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MHDJ3HN/A	358981875383423			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/240	20210218
DTL	MGMT3HN/A	354794863170643			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/241	20210218
DTL	MGMT3HN/A	354794863211827			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/241	20210218
DTL	MGJC3HN/A	357078167145718			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357078167175046			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357771576779479			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357078167157879			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	352619276209021			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357078167243562			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357078167240907			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357078167204556			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357078167002604			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357078167118897			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	353241895566423			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	352045132509182			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	357078165613451			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	354842975804219			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJC3HN/A	351601285829024			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/242	20210216
DTL	MGJE3HN/A	356375234149157			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/243	20210216
DTL	MHDC3HN/A	351057065717451			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	352012835699074			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	355608705723154			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	351941233910777			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	351941233901545			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	355608705668375			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	355608705590983			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	352012835621201			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	351941233967926			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
DTL	MHDC3HN/A	351057063780303			KOLHAPUR		20210219	INV/IN/2021-22/GDRW/244	20210215
