CTRL	2119880	060704780001000	ISL	20210322120003	20210322120003	SSCOMMUNICATION	IN	UTF-8
HDR	20210322	2119880	T2
DTL	M09W3HN/A			GY6DM0HWQ1YM	KOLHAPUR		20210322	INV/IN/2021-22/GDRW/635	20210320
DTL	MGJD3HN/A	351066258858220			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/637	20210318
DTL	MHDN3HN/A	358981876999284			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/639	20210317
DTL	MHDN3HN/A	351039494617403			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/639	20210317
DTL	MHDN3HN/A	352681236934684			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/639	20210317
DTL	MHDN3HN/A	351039496863211			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/639	20210317
DTL	MHDN3HN/A	352681236780988			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/639	20210317
DTL	MHDN3HN/A	358981876960518			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/639	20210317
DTL	MHDN3HN/A	351039494546461			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/639	20210317
DTL	MHDN3HN/A	351039494724571			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/639	20210317
DTL	MHDN3HN/A	352672767330343			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	355183487409877			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	355900707349025			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	355900707323905			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	355900707356525			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	352672767370604			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	355900707430213			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	355183487392883			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	352370394986997			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	359130337037040			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	352370394816335			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	352012837114650			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	351057067154182			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	351057067194493			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	355900704699240			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	351057067039565			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	355900704640483			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	351057067049150			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	352012837130532			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MHDN3HN/A	351057067108477			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/640	20210317
DTL	MYFQ2HN/A			DMPF6B83Q16Q	KOLHAPUR		20210322	INV/IN/2021-22/GDRW/641	20210316
DTL	MGMR3HN/A	352003574034300			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/642	20210319
DTL	MGMR3HN/A	355513314084271			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/642	20210319
DTL	MGD73HN/A	350888740062108			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/643	20210319
DTL	MGD73HN/A	359173730827856			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/643	20210319
DTL	MGD73HN/A	359173730702349			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/643	20210319
DTL	MGD93HN/A	359173730245042			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/643	20210319
DTL	MGD93HN/A	354692270340157			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/643	20210319
DTL	MGD93HN/A	359173730706027			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/643	20210319
DTL	MGD93HN/A	359173730424977			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/643	20210319
DTL	MGD93HN/A	354692270953041			KOLHAPUR		20210322	INV/IN/2021-22/GDRW/643	20210319
