CTRL	2119880	060704780001000	ISL	20210401120004	20210401120004	SSCOMMUNICATION	IN	UTF-8
HDR	20210401	2119880	T2
DTL	MGJC3HN/A	351066259244073			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/729	20210331
DTL	MHDC3HN/A	350864486323459			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350308226307851			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	352672765790134			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	352370396149040			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350308226362187			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350308226446964			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	355608706068203			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350308226371857			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	351039496423024			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	351039494402996			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350864485906866			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	355883611338872			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350864485755834			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	355608706213304			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	355608706135887			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350864485958677			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350864485855592			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	355608706200384			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	357593320963567			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MHDC3HN/A	350864484226779			KOLHAPUR		20210401	INV/IN/2021-22/GDRW/733	20210327
DTL	MV7N2HN/A			GRQDNWGGLX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRQDNYRELX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRQDN5ASLX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRMDN1PQLX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRPDN2EXLX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRPDN1HQLX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRPDN1YGLX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRPDN1YLLX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRPDN351LX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
DTL	MV7N2HN/A			GRPDN0FKLX2Y	KOLHAPUR		20210401	INV/IN/2021-22/GDRW/744	20210327
