CTRL	2119880	060704780001000	ISL	20210407120004	20210407120004	SSCOMMUNICATION	IN	UTF-8
HDR	20210407	2119880	T2
DTL	M00H3HN/A			GY6F9KGAQ1RP	KOLHAPUR		20210407	INV/IN/2021-22/GDRW/783	20210403
DTL	MGMR3HN/A	354121933796548			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	354121933995991			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	354121933853224			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	354121933864981			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	354121933911733			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	354121933806883			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	352622993985048			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	354121933960748			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	352622993857767			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	353076693954136			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	352798293874031			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	351880153862057			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	353076693797394			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	352798293961713			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MGMR3HN/A	358438443873708			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/784	20210403
DTL	MHDN3HN/A	351057069081276			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	351057069131329			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	357593327489426			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	355183485631845			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	357593327445626			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	352681235710440			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	357593327457647			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	357593327291566			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	351057069101124			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	352681235613156			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	350308225636508			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	350308225608713			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	352012839155883			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	357593327374735			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	355183485622786			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	350308225502791			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	357593327309210			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	351057069231673			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	352012839084612			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	MHDN3HN/A	357593327483577			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/785	20210403
DTL	M00J3HN/A			GY6F99TCQ1RF	KOLHAPUR		20210407	INV/IN/2021-22/GDRW/786	20210403
DTL	M00J3HN/A			GY6F93NRQ1RF	KOLHAPUR		20210407	INV/IN/2021-22/GDRW/786	20210403
DTL	M00J3HN/A			GY6F96QLQ1RF	KOLHAPUR		20210407	INV/IN/2021-22/GDRW/786	20210403
DTL	MHDJ3HN/A	355900704079153			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355883615186087			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355900704187113			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355900704175696			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	352370395912745			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355883615076478			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355883615206992			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	352370395930309			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355883615372174			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355883615205168			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355883615211182			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355883615047941			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	358981875946591			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	355883615078730			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
DTL	MHDJ3HN/A	352370395893200			KOLHAPUR		20210407	INV/IN/2021-22/GDRW/793	20210401
