CTRL	2119880	060704780001000	ISL	20210709120007	20210709120007	SSCOMMUNICATION	IN	UTF-8
HDR	20210709	2119880	T2
DTL	MYL92HN/A			DMPFX117Q1GC	KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1459	20210706
DTL	MHDA3HN/A	351057069063480			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDA3HN/A	356157210930747			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDA3HN/A	351057069040249			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDA3HN/A	352509582340950			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130335646792			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	353855328755947			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	357593326468785			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130335612950			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	357593327175488			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	357593327446426			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	357593326482117			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352681235556553			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130335582856			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130335587574			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352370398775081			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355608705720549			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355883618554059			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355900705283366			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352370398863333			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352370398957895			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355608708792735			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352370398845884			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355608708814257			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355883618633762			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130335580892			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130335694636			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352672768968596			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	351039498833147			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	358981875627795			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	358981875703554			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	350864488839437			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355900708921343			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	358981875702317			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	351941238819593			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355900705424481			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352672765429972			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	351941238616106			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352672765416235			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130338644943			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	352681238738695			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355900705429340			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	355900708609732			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130338745484			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
DTL	MHDC3HN/A	359130338585419			KOLHAPUR		20210709	INV/IN/2021-22/GDRW/1460	20210702
