CTRL	2119880	060704780001000	ISL	20210816120008	20210816120008	SSCOMMUNICATION	IN	UTF-8
HDR	20210816	2119880	T2
DTL	MHQR3HN/A			D2YJH043MJ	KOLHAPUR		20210816	INV/IN/2021-22//1859	20210812
DTL	MGJC3HN/A	356375238689810			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	356375238640615			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	356375238393918			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	356375238373399			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	356375238605527			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	356375238252114			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	351601284300779			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	356375238527531			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	356375238611558			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJC3HN/A	356375238599423			KOLHAPUR		20210816	INV/IN/2021-22//1860	20210812
DTL	MGJD3HN/A	357676154751602			KOLHAPUR		20210816	INV/IN/2021-22//1861	20210812
DTL	MGJD3HN/A	355238414644796			KOLHAPUR		20210816	INV/IN/2021-22//1861	20210812
DTL	MYDP2HN/A 			G99G4PUMQ07V	KOLHAPUR		20210816	INV/IN/2021-22//1865	20210814
DTL	MHDM3HN/A	356157214848705			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDA3HN/A	352509587266531			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDA3HN/A	355883619632466			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDA3HN/A	355883619685670			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDA3HN/A	355883619701998			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDA3HN/A	352509587280334			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDC3HN/A	357293376194882			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDC3HN/A	352747616646410			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDC3HN/A	355708332269876			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDC3HN/A	357293376650792			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDC3HN/A	355708332376937			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDC3HN/A	357293376263703			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDK3HN/A	352747619967219			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MHDK3HN/A	357293376547535			KOLHAPUR		20210816	INV/IN/2021-22//1866	20210813
DTL	MYDT2HN/A			G99G4410Q07Y	KOLHAPUR		20210816	INV/IN/2021-22//1867	20210813
DTL	MWP22HN/A			GN3G1GB30C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G19RR0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G1FPT0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G144V0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G192W0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G171F0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G1ACM0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G1CKL0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G19ME0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GX6G2SWG0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G1BVV0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G199U0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GX7G12QX0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G14XS0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GX7G10Q80C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GX7FXPFR0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GX7FXK2X0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G155V0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G19CF0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
DTL	MWP22HN/A			GN3G14FP0C6L	KOLHAPUR		20210816	INV/IN/2021-22//1868	20210814
