CTRL	2119880	060704780001000	ISL	20211011120010	20211011120010	SSCOMMUNICATION	IN	UTF-8
HDR	20211011	2119880	T2
DTL	MLK43HN/A	354329700446888			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2606	20211005
DTL	MLK13HN/A	352929593589298			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2607	20211007
DTL	MLK13HN/A	352929593789492			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2607	20211007
DTL	MLLK3HN/A	355777912550583			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2610	20211007
DTL		355125539493920			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		354396707507079			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		356157216206373			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082465219726			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		352604708722023			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		352509586325866			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		352604708507044			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		354396709242964			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355708331027028			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082464898009			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355091849122726			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082464075236			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082462022925			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082462329296			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		354790158686913			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		350507049063332			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082466612333			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082466064634			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355708331483288			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082460800843			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355708332016012			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082463246648			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		358989497225609			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		358989495591572			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		351082466992222			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355125539769261			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		352604709025293			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		354790159997509			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355708331769512			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
