CTRL	2119880	060704780001000	ISL	20211104120011	20211104120011	SSCOMMUNICATION	IN	UTF-8
HDR	20211104	2119880	T2
DTL	MLQ63HN/A	350038446527075			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3056	20211102
DTL	MLPJ3HN/A	356646227495520			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3057	20211101
DTL	MLPJ3HN/A	356646224994483			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3057	20211101
DTL	MLPJ3HN/A	356646225688894			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3057	20211101
DTL	MLPJ3HN/A	356646225123124			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3057	20211101
DTL	MLPJ3HN/A	350038443527300			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3057	20211101
DTL	MLPJ3HN/A	350038445976448			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3057	20211101
DTL	MGJA3HN/A	353032114214196			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3058	20211102
DTL	MGJA3HN/A	353036111119084			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3058	20211102
DTL	MGJA3HN/A	353034114219555			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3058	20211102
DTL	MGJA3HN/A	353032114170729			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3058	20211102
DTL	MGJA3HN/A	353034114172804			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3058	20211102
DTL	MGJA3HN/A	353032114332014			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3058	20211102
DTL	MGJ63HN/A	353036113737891			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ63HN/A	353037111710310			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ63HN/A	353037111759036			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ63HN/A	353036112205916			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ63HN/A	353036113845736			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ93HN/A	353037110376766			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ93HN/A	353037111510751			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ93HN/A	353037111509951			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ93HN/A	353037110213662			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ93HN/A	353037111891656			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MGJ93HN/A	353035112210017			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3059	20211101
DTL	MLVP3HN/A	352544476848057			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3060	20211102
DTL	MLVP3HN/A	351619858515077			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3060	20211102
DTL	MGJ83HN/A	353033110544420			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	356753567859255			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	356753567441781			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035110573671			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353036110675326			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035110527727			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353033110513409			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035111234968			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	356753567974948			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035111249552			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035112997159			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035112571889			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035112714190			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035112739510			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035111410535			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035111454707			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035111275367			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353036110886410			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035110657227			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJ83HN/A	353035110881272			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJH3HN/A	356753566976043			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJH3HN/A	353035112063960			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJH3HN/A	353035112306674			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJH3HN/A	353033112233295			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJH3HN/A	353035111597653			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
