CTRL	2119880	060704780001000	ISL	20220124120001	20220124120001	SSCOMMUNICATION	IN	UTF-8
HDR	20220124	2119880	T2
DTL	MLLH3HN/A	359481982414699			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4193	20220120
DTL	MLPH3HN/A	351044637142756			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044636945225			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044631904938			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044636783816			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044636480751			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044636297635			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044636265244			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044632591932			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044638777626			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044636565643			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044636305842			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044633112340			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044631935791			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044637039671			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044633215044			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044637704696			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044637402788			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044637309553			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044639676710			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044633020121			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MLPH3HN/A	351044637914063			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4194	20220119
DTL	MGJA3HN/A	353067112521358			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402211242			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402744689			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067111024669			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402879360			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402808179			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
